Donkey,an animal like a small horse with long ears,...,/ˈdɒŋ.ki/
Duck,a bird that lives by water and has webbed feet,...,/dʌk/
Fox,a wild mammal belonging to the dog family,...,/fɒks/
Gecko,a small lizard with wide feet,...,/ˈɡek.əʊ/
Giraffe,a large African animal with a very long neck and long legs,...,/dʒɪˈrɑːf/
Fly,a small insect with two wings,...,/flaɪ/
Hamster,a small animal covered in fur,...,/ˈhæm.stər/
insect,a type of very small animal with six legs,..,/ˈɪn.sekt/
Koala,an Australian mammal with greyish fur,...,/kəʊˈɑː.lə/
Moth,an insect with wings that is similar to a butterfly,..,/mɒθ/
