sibling,a brother or sister,I have four ...s: three brothers and a sister,/ˈsɪb.lɪŋ/
fiancée,a woman engaged to be married,he received from his ... a year ago,/fiˈɒn.seɪ/
fraternal,relating to or involving brothers,... rivalry,/frəˈtɜː.nəl/
engaged,pledged to be married,Debbie and Christa have just got ...,/ɪnˈɡeɪdʒd/
foster,to give parental care to,Would you consider ...ing,/ˈfɒs.tər/
grandfather,the father of a person's mother or father,Her ... on her mother's side was Italian,/ˈɡræn.pɑː/
husband,the man that you are married to,I've never met Fiona's ...,/ˈhʌz.bənd/
inherit,to receive as a devise or legacy,All her children will ... equally,/ɪnˈher.ɪt/
kin,a group of persons of common ancestry,close ...,/kɪn/
lineage,descent in a line from a common progenitor,She's very proud of her ancient royal ...,/ˈlɪn.i.ɪdʒ/
